Country,Channel,Category,Market,Product,Week,Date,Spend,CPC,CTR,Clicks,Impressions,Conversions
UK,Paid Social,C1,M1,P1,1,2024-01-01,4923.704106964784,2.1175637075025735,1.699231729920486,2325.174014609334,136836.78180362948,81.42498968959173
UK,Paid Social,C1,M1,P2,1,2024-01-01,3486.6261188573344,2.56588775570179,2.031371355583045,1358.8381296529924,66892.64992923848,47.584989339135056
UK,Paid Social,C1,M1,P3,1,2024-01-01,1995.3155462392745,2.24747992160414,1.6755108173773297,887.8012778041269,52986.9021791097,31.089806370364553
UK,Paid Social,C1,M1,P4,1,2024-01-01,1528.0289771938178,2.483146769403662,2.0433002159181752,615.3599118753581,30115.981346326073,21.549214882421456
UK,Paid Social,C1,M1,P5,1,2024-01-01,1246.208006168636,2.4240916974429068,2.1048305703673855,514.0927661619481,24424.425100981705,18.002952863406854
UK,Paid Social,C1,M2,P1,1,2024-01-01,2358.4387760329973,2.6746481869145535,1.6496084009609693,881.7753256564438,53453.615121187,30.878784275496738
UK,Paid Social,C1,M2,P2,1,2024-01-01,1631.5933682439643,2.6605127134302613,1.6240468557917362,613.262759470265,37761.395693925,21.475774954102416
UK,Paid Social,C1,M2,P3,1,2024-01-01,1210.2203267963657,2.3323335502450875,1.8961197253257251,518.8881867557892,27365.79235083122,18.170883121511157
UK,Paid Social,C1,M2,P4,1,2024-01-01,862.735762463649,2.1535513148691927,1.9604550700085202,400.6107291276929,20434.578443358656,14.02893903157732
UK,Paid Social,C1,M2,P5,1,2024-01-01,701.2092811721163,2.4741442814688694,2.0103996166676215,283.4148705166931,14097.43954221764,9.924871327781469
UK,Paid Social,C1,M3,P1,1,2024-01-01,1141.4700040046223,2.477626981509913,1.8869648437878797,460.7109998894946,24415.45222245194,16.133583198583285
UK,Paid Social,C1,M3,P2,1,2024-01-01,931.9478355780958,2.5193131275339518,1.925895379844591,369.921398571975,19207.76187758577,12.95423304898029
UK,Paid Social,C1,M3,P3,1,2024-01-01,645.6829388954533,2.6806049020511002,1.929766120746792,240.87210256214948,12481.932394425881,8.435071243873589
UK,Paid Social,C1,M3,P4,1,2024-01-01,438.0270853117666,2.586935733533449,2.028269225171153,169.32275496209303,8348.140023068432,5.929493229485511
UK,Paid Social,C1,M3,P5,1,2024-01-01,344.7568146288547,2.4689682018918853,1.693696517468466,139.6359881689361,8244.451513524229,4.889895906935761
UK,Paid Social,C2,M1,P1,1,2024-01-01,1640.3640357122301,2.4507241965485678,1.6130454529157394,669.3384910559934,41495.32735398731,23.439484266831595
UK,Paid Social,C2,M1,P2,1,2024-01-01,1002.6287941697275,2.159569277051107,1.9048316728796661,464.2725773256127,24373.417553674946,16.258305651265314
UK,Paid Social,C2,M1,P3,1,2024-01-01,829.4180434692234,2.4885240214984012,2.1722127060742134,333.29718190536516,15343.671500187704,11.671694002125717
UK,Paid Social,C2,M1,P4,1,2024-01-01,492.19638120052446,2.610875128082454,1.6150920497611736,188.5177793095053,11672.262230340479,6.601681482820222
UK,Paid Social,C2,M1,P5,1,2024-01-01,423.9937040839686,2.691741860639673,1.967680982598759,157.51648041882055,8005.183859163244,5.516050718551564
UK,Paid Social,C2,M2,P1,1,2024-01-01,906.0701537185627,2.6874875840606998,1.8963288738680129,337.1439403450275,17778.769547359283,11.806403174136003
UK,Paid Social,C2,M2,P2,1,2024-01-01,632.6231960860665,2.4208241044044776,2.140117624206086,261.32555229232224,12210.803244483608,9.151328144618164
UK,Paid Social,C2,M2,P3,1,2024-01-01,421.5671062035613,2.194875481805366,1.614164282200872,192.0688028538215,11898.962514022462,6.7260343500321955
UK,Paid Social,C2,M2,P4,1,2024-01-01,309.68717467654017,2.250348092617788,1.9957035136203323,137.61745380301892,6895.686301286915,4.819209094292834
UK,Paid Social,C2,M2,P5,1,2024-01-01,261.09836970316644,2.748321774176615,1.993732493877596,95.00283851638528,4765.074492597297,3.326892997287484
UK,Paid Social,C2,M3,P1,1,2024-01-01,457.80917255185807,2.3941983411633645,2.1302516710911052,191.21605953891194,8976.219201413509,6.696172234255864
UK,Paid Social,C2,M3,P2,1,2024-01-01,274.3801129900229,2.611930004628367,1.9218531489169108,105.04880012244527,5466.015974303088,3.6786913207918452
UK,Paid Social,C2,M3,P3,1,2024-01-01,196.45868776890262,2.4477621408384294,2.014388317335678,80.26053042131366,3984.362385871553,2.810633879862384
UK,Paid Social,C2,M3,P4,1,2024-01-01,131.47502414396675,2.3801977904962452,1.84759999081537,55.23701629710178,2989.6631614901107,1.9343384427212442
UK,Paid Social,C2,M3,P5,1,2024-01-01,124.4424719258612,2.2614047114792735,2.095954501302271,55.028837294877,2625.4786189626802,1.9270482472334067
UK,Online Video,C1,M1,P1,1,2024-01-01,3863.017981612971,1.9226623169387815,1.5082554105171244,2009.202524842521,133213.67925036253,70.36002202058464
UK,Online Video,C1,M1,P2,1,2024-01-01,2781.281301710364,1.604040824196522,1.2486058614412838,1733.921767922292,138868.62311544822,60.71999824036935
UK,Online Video,C1,M1,P3,1,2024-01-01,2372.9419713587813,2.1260114839579445,1.2629526889976979,1116.1472970696905,88376.0181036936,39.08622820698213
UK,Online Video,C1,M1,P4,1,2024-01-01,1440.975933774543,1.9368918889196078,1.271132371872862,743.9630172535416,58527.580110118724,26.05275159136212
UK,Online Video,C1,M1,P5,1,2024-01-01,1301.7111916488045,1.6145688551948072,1.2542426947638257,806.2283546846601,64280.09172789905,28.233213968153134
UK,Online Video,C1,M2,P1,1,2024-01-01,2230.5621007858585,2.0909048471986993,1.3036249115175993,1066.7927351042615,81832.79758457266,37.35788672633618
UK,Online Video,C1,M2,P2,1,2024-01-01,1677.97159303188,1.681212634517244,1.3905130732287891,998.0722001376735,71777.26116735724,34.951370561971686
UK,Online Video,C1,M2,P3,1,2024-01-01,1230.8726330408524,1.618383218854522,1.5018426782823364,760.5569674110028,50641.587058962454,26.63385313988768
UK,Online Video,C1,M2,P4,1,2024-01-01,661.6286579798411,1.8774012424810695,1.351479590978502,352.41728992650997,26076.404873517316,12.341258769624279
UK,Online Video,C1,M2,P5,1,2024-01-01,654.0081054043442,2.176394017172198,1.4338894796075716,300.50078259914574,20957.039358527625,10.523200831900207
UK,Online Video,C1,M3,P1,1,2024-01-01,1183.16756889985,1.6561685490783942,1.569504153674225,714.4004573436958,45517.589467430036,25.017503854748497
UK,Online Video,C1,M3,P2,1,2024-01-01,830.7680371178449,1.639359109681026,1.598066373148458,506.7639129290527,31711.067915823987,17.746304631844147
